0
"0,1"
"0,14"
"0,2"
"0,28"
"0,38"
"0,5"
"0,64"
"0,8"
"0,98"
"1,18"
"1,4"
"1,64"
"1,9"
"2,18"
"2,48"
"2,8"
"3,14"
"3,5"
"3,88"
"4,28"
"4,7"
"5,14"
"5,6"
"6,08"
"6,58"
"7,1"
"7,64"
"8,2"
"8,78"
"9,38"
10
"10,64"
"11,3"
"11,98"
"12,68"
"13,4"
"14,14"
"14,9"
"15,68"
"16,48"
"17,3"
"18,14"
19
"19,88"
"20,78"
"21,7"
"22,64"
"23,6"
"24,58"
"25,58"
"26,6"
"27,64"
"28,7"
"29,78"
"30,88"
32
"33,14"
"34,3"
"35,48"
"36,68"
"37,9"
"39,14"
"40,4"
"41,68"
"42,98"
"44,3"
"45,64"
47
"48,38"
"49,78"
"51,2"
"52,64"
"54,1"
"55,58"
"57,08"
"58,6"
"60,14"
"61,7"
"63,28"
"64,88"
"66,5"
"68,14"
"69,8"
"71,48"
"73,18"
"74,9"
"76,64"
"78,4"
"80,18"
"81,98"
"83,8"
"85,64"
"87,5"
"89,38"
"91,28"
"93,2"
"95,14"
"97,1"
"99,08"
